DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FOM_COST_ID,SOURCE,NOTES
MORTLK12,MORTLK,Mortlake Power Station,VIC1,MEL,620,Natural Gas (Pipeline),Fossil,0.57917,SCHEDULED,283,0,780,780,780,780,1,1,28300,28300,28300,10.4,11.25,0.3,7.745979944,97.54227437,MORTLK12,NTNPD,
MORTLK11,MORTLK,Mortlake Power Station,VIC1,MEL,620,Natural Gas (Pipeline),Fossil,0.57917,SCHEDULED,283,0,780,780,780,780,1,1,28300,28300,28300,10.4,11.25,0.3,7.745979944,97.54227437,MORTLK11,NTNPD,
GSTONE1,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE1,NTNPD,
GSTONE2,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE2,NTNPD,
GSTONE5,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE5,NTNPD,
GSTONE6,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE6,NTNPD,
GSTONE3,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE3,NTNPD,
GSTONE4,G/STONE,GLADSTONE POWER STATION,QLD1,CQ,437,Black coal,Fossil,1.0495,SCHEDULED,280,110,180,190,290,300,8,8,98000,33600,11200,1,10.22727273,0.1,2.184,23.33636364,GSTONE4,NTNPD,
DRYCGT1,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,DRYCGT1,NTNPD,
DRYCGT2,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,DRYCGT2,NTNPD,
