DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17,FUEL_COST_ID,SOURCE,COST_TYPE,NOTES
DRYCGT2,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,Dry Creek,NTNDP,GAS,
DRYCGT3,DRYCGT,Dry Creek Gas Turbine Station,SA1,ADE,121,Natural Gas (Pipeline),Fossil,1.35599,SCHEDULED,52,0,300,300,300,300,1,1,5200,5200,5200,10.4,13.84615385,0.3,7.223998176,110.4245902,Dry Creek,NTNDP,GAS,
HVGTS,HUNTVGT,Hunter Valley Gas Turbine,NSW1,NCEN,244,Kerosene - non aviation,Fossil,0.94233,SCHEDULED,50,0,60,60,60,60,1,1,5000,5000,5000,10.4,12.85714286,0.3,7.150907655,102.3402413,Liquid Fuel,ACIL,LIQUID,
JLA01,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
JLA02,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
JLA03,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
JLA04,JEERA,"Jeeralang ""A"" Power Station",VIC1,LV,279,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,51,0,540,540,540,540,1,1,5100,5100,5100,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
DARTM1,DARTM,DARTMOUTH POWER STATION,VIC1,NVIC,739,Hydro,Hydro,0,SCHEDULED,150,18,3270,3270,3120,3010,1,1,750,450,300,7,0,0,0,7,,,,
BROKENH1,BROKENH,Broken Hill Solar Plant,NSW1,SWNSW,469,Solar,Solar,0,SEMI-SCHEDULED,53,0,1200,1200,1200,1200,0,0,0,0,0,0,3.6,0,0,0,,,,
MPP_2,MILLMERN,Millmerran Power Plant,QLD1,SWQ,561,Black coal,Fossil,0.89209,SCHEDULED,426,170.4,60,60,60,60,8,8,149100,51120,17040,3.1,9.756097561,0.1,1.249,15.28536585,Millmerran,NTNDP,COAL,
MPP_1,MILLMERN,Millmerran Power Plant,QLD1,SWQ,561,Black coal,Fossil,0.89209,SCHEDULED,426,170.4,60,60,60,60,8,8,149100,51120,17040,3.1,9.756097561,0.1,1.249,15.28536585,Millmerran,NTNDP,COAL,
WKIEWA1,WKIEWA,WEST KIEWA POWER STATION,VIC1,NVIC,738,Hydro,Hydro,0,SCHEDULED,31,0,600,600,600,600,1,1,155,93,62,7,0,0,0,7,,,,
WKIEWA2,WKIEWA,WEST KIEWA POWER STATION,VIC1,NVIC,738,Hydro,Hydro,0,SCHEDULED,31,0,600,600,600,600,1,1,155,93,62,7,0,0,0,7,,,,
JLB01,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
JLB02,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
JLB03,JEERB,"Jeeralang ""B"" Power Station",VIC1,LV,280,Natural Gas (Pipeline),Fossil,0.90578,SCHEDULED,76,0,360,360,360,360,1,1,7600,7600,7600,10.4,15.72052402,0.3,6.705029246,115.8065733,Jeeralang,NTNDP,GAS,
W/HOE#1,WIVENHOE,WIVENHOE POWER STATION,QLD1,SEQ,345,Hydro,Hydro,0,SCHEDULED,250,62.5,7200,7200,7200,7200,1,1,1250,750,500,7,0,0,0,7,,,,
W/HOE#2,WIVENHOE,WIVENHOE POWER STATION,QLD1,SEQ,345,Hydro,Hydro,0,SCHEDULED,250,62.5,7200,7200,7200,7200,1,1,1250,750,500,7,0,0,0,7,,,,
TARONG#1,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,Tarong,NTNDP,COAL,
TARONG#4,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,Tarong,NTNDP,COAL,
TARONG#2,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,Tarong,NTNDP,COAL,
TARONG#3,TARONG,TARONG POWER STATION,QLD1,SWQ,455,Black coal,Fossil,0.94117,SCHEDULED,350,140,200,200,240,240,8,8,122500,42000,14000,3.1,9.944751381,0.1,2.766,30.60718232,Tarong,NTNDP,COAL,
LADBROK1,LADBROKE,Ladbroke Grove Power Station,SA1,SESA,656,Natural Gas (Pipeline),Fossil,0.66009,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6.629058547,89.94870256,Ladbroke Grove,NTNDP,GAS,
LADBROK2,LADBROKE,Ladbroke Grove Power Station,SA1,SESA,656,Natural Gas (Pipeline),Fossil,0.66009,SCHEDULED,40,0,480,480,480,480,1,1,4000,4000,4000,10.4,12,0.3,6.629058547,89.94870256,Ladbroke Grove,NTNDP,GAS,
LNGS1,LNGS,Laverton North Power Station,VIC1,MEL,742,Natural Gas (Pipeline),Fossil,0.81463783,SCHEDULED,156,0,3330,920,3330,680,1,1,15600,15600,15600,10.4,11.84210526,0.3,6.210841538,83.94943925,Laverton North,NTNDP,GAS,
DEVILS_G,DEVILS_G,Devils Gate Power Station,TAS1,TAS,268,Hydro,Hydro,0,SCHEDULED,60,4.8,1070,1070,1790,1790,1,1,300,180,120,7,0,0,0,7,,,,
LNGS2,LNGS,Laverton North Power Station,VIC1,MEL,742,Natural Gas (Pipeline),Fossil,0.81463783,SCHEDULED,156,0,3330,920,3330,680,1,1,15600,15600,15600,10.4,11.84210526,0.3,6.210841538,83.94943925,Laverton North,NTNDP,GAS,
TUNGATIN,TUNGATIN,Tungatinah Power Station,TAS1,TAS,825,Hydro,Hydro,0,SCHEDULED,125,0,590,590,1930,1930,1,1,625,375,250,7,0,0,0,7,,,,
LEM_WIL,LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,TAS,377,Hydro,Hydro,0,SCHEDULED,82,0,400,400,1170,1170,1,1,410,246,164,7,0,0,0,7,,,,
TRIBUTE,TRIBUTE,Tribute Power Station,TAS1,TAS,625,Hydro,Hydro,0,SCHEDULED,83,0,800,800,1780,1780,1,1,415,249,166,7,0,0,0,7,,,,
LONSDALE,LONSDALE,Lonsdale Power Station,SA1,ADE,11,Diesel oil,Fossil,0.657,SCHEDULED,21,0,180,180,180,180,1,1,2100,2100,2100,10.88332,13.84615385,0.3,8.582270557,129.7147585,Liquid Fuel,ACIL,LIQUID,
MACKAYGT,MACKAY,MACKAY GAS TURBINE,QLD1,NQ,889,Diesel oil,Fossil,1.05628,SCHEDULED,30,0,600,600,600,600,1,1,3000,3000,3000,10.4,12.85714286,0.3,5.990506562,87.42079867,Liquid Fuel,ACIL,LIQUID,
MINTARO,MINTARO,Mintaro Gas Turbine Station,SA1,NSA,868,Natural Gas (Pipeline),Fossil,0.9619,SCHEDULED,90,0,300,300,300,300,1,1,9000,9000,9000,10.4,12.85714286,0.3,7.082565617,101.461558,Mintaro,NTNDP,GAS,
MORTLK11,MORTLK,Mortlake Power Station,VIC1,MEL,620,Natural Gas (Pipeline),Fossil,0.57917,SCHEDULED,283,0,780,780,780,780,1,1,28300,28300,28300,10.4,11.25,0.3,7.745979944,97.54227437,Mortlake OCGT,NTNDP,GAS,
MORTLK12,MORTLK,Mortlake Power Station,VIC1,MEL,620,Natural Gas (Pipeline),Fossil,0.57917,SCHEDULED,283,0,780,780,780,780,1,1,28300,28300,28300,10.4,11.25,0.3,7.745979944,97.54227437,Mortlake OCGT,NTNDP,GAS,
MSTUART1,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,144,0,600,590,600,600,1,1,14400,14400,14400,10.4,12,0.3,5.990506562,82.28607874,Mortlake OCGT,NTNDP,GAS,
MSTUART2,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,144,0,600,590,600,600,1,1,14400,14400,14400,10.4,12,0.3,5.990506562,82.28607874,Mortlake OCGT,NTNDP,GAS,
MSTUART3,MSTUART,Mt Stuart Power Station,QLD1,NQ,357,Kerosene - non aviation,Fossil,1.00862,SCHEDULED,131,0,600,590,600,600,1,1,13100,13100,13100,10.4,12,0.3,5.990506562,82.28607874,Mortlake OCGT,NTNDP,GAS,
NPS,NEWPORT,NEWPORT POWER STATION,VIC1,MEL,147,Natural Gas (Pipeline),Fossil,0.59856,SCHEDULED,500,0,340,340,420,420,1,1,10000,5000,2500,12.5,10.81081081,0.3,6.70209177,84.95504616,Newport,NTNDP,GAS,
OAKEY1,OAKEY,OAKEY POWER STATION,QLD1,SWQ,366,Natural Gas (Pipeline),Fossil,0.85373,SCHEDULED,141,0,660,660,660,660,1,1,14100,14100,14100,10.4,11.04294479,0.3,6.6942,84.32368101,Oakey,NTNDP,GAS,
OAKEY2,OAKEY,OAKEY POWER STATION,QLD1,SWQ,366,Natural Gas (Pipeline),Fossil,0.85373,SCHEDULED,141,0,660,660,660,660,1,1,14100,14100,14100,10.4,11.04294479,0.3,6.6942,84.32368101,Oakey,NTNDP,GAS,
LK_ECHO,LK_ECHO,Lake Echo Power Station,TAS1,TAS,425,Hydro,Hydro,0,SCHEDULED,32,0,1000,1000,1000,1000,1,1,160,96,64,7,0,0,0,7,,,,
BASTYAN,BASTYAN,Bastyan Power Station,TAS1,TAS,431,Hydro,Hydro,0,SCHEDULED,80,0.056,740,740,1790,1790,1,1,400,240,160,7,0,0,0,7,,,,
OSB-AG,OSBORNE,OSBORNE POWER STATION,SA1,ADE,122,Natural Gas (Pipeline),Fossil,0.57192,SCHEDULED,180,0,170,170,160,160,4,4,4500,2700,900,7,8.571428571,0.3,6.629058547,63.82050183,Osborne,NTNDP,GAS,
EILDON1,EILDON,EILDON POWER STATION,VIC1,NVIC,199,Hydro,Hydro,0,SCHEDULED,60,18,900,900,900,900,1,1,300,180,120,7,0,0,0,7,,,,
EILDON2,EILDON,EILDON POWER STATION,VIC1,NVIC,199,Hydro,Hydro,0,SCHEDULED,60,18,900,900,900,900,1,1,300,180,120,7,0,0,0,7,,,,
UPPTUMUT,SNOWY2,Tumut Power Station,NSW1,CAN,507,Hydro,Hydro,0,SCHEDULED,616,0,7630,1840,7790,1800,1,1,3080,1848,1232,7,0,0,0,7,,,,
GORDON,GORDON,Gordon Power Station,TAS1,TAS,940,Hydro,Hydro,0,SCHEDULED,432,0,2890,2780,5250,140,1,1,2160,1296,864,7,0,0,0,7,,,,
MOREESF1,MOREESF,MOREE SOLAR FARM,NSW1,NNS,567,Solar,Solar,0,SEMI-SCHEDULED,57,0,3600,3600,3600,3600,0,0,0,0,0,0,3.6,0,0,0,,,,
TREVALLN,TREVALLN,Trevallyn Power Station,TAS1,TAS,696,Hydro,Hydro,0,SCHEDULED,93,0,500,500,1710,1710,1,1,465,279,186,7,0,0,0,7,,,,
POR01,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885,Diesel oil,Fossil,1.56153,SCHEDULED,50,0,180,180,180,180,1,1,5000,5000,5000,10.4,13.84615385,0.3,8.405479859,126.7835673,Liquid Fuel,ACIL,LIQUID,
LKBONNY2,LKBONNY_2,Lake Bonney Stage 2 Windfarm,SA1,SESA,658,Wind,Wind,0,SEMI-SCHEDULED,159,0,780,780,780,780,1,1,795,477,318,0,3.6,0,0,0,,,,
HUMEV,HUMEV,Hume (Vic) Hydro Power Station,NSW1,SWNSW,734,Hydro,Hydro,0,SCHEDULED,29,4.06,180,180,180,180,1,1,145,87,58,7,0,0,0,7,,,,
LKBONNY3,LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,SESA,655,Wind,Wind,0,SEMI-SCHEDULED,39,0,900,180,900,180,1,1,195,117,78,0,3.6,0,0,0,,,,
POR03,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885,Diesel oil,Fossil,1.56153,SCHEDULED,23,0,180,180,180,180,1,1,2300,2300,2300,10.4,13.84615385,0.3,8.405479859,126.7835673,Liquid Fuel,ACIL,LIQUID,
